Qty;Value;Device;Package;Parts;Description;REF-MANF;REF-MOUSER;REF-RS
2;0.1µF;C-EUC0603;C0603;C4, C5;CAPACITOR, European symbol;;603-CC603KRX7R7BB104;839-2811
2;10k;4R-NCAT16;CAT16;RN1, RN2;Array Chip Resistor;CAT16-103J4LF;652-CAT16-103J4LF;522-5412
1;10µF;C-EUC0805;C0805;C6;CAPACITOR, European symbol;;963-EMK212BJ106KG-T;184-3926
3;4.7µF;C-EUC0603;C0603;C1, C2, C3;CAPACITOR, European symbol;;963-JMK107BJ475KA-T;184-3720
1;ATMEGA328P;ATMEGA328P;QFP80P900X900X120-32;U1;;ATMEGA328P-AU;556-ATMEGA328P-AU;131-0271
1;BSS138DWQ;BSS138DWQ;SOT65P210X110-6;U2;;BSS138DWQ-7;621-BSS138DWQ-7;708-2481
1;MIC5504_2.8YM5;MIC5504_2.8YM5;SOT95P280X145-5;U3;;MIC5504-2.8YM5-TR;998-MIC5504-2.8YM5TR;
1;RESONATOR8M00;RESONATOR8M00;CSTNE;X1;;CSTNE8M00;81-CSTNE8M00GH5C000R;
1;VL53L0X;VL53L0X;VL53L0X;VL1;;VL53L0CXV0DH/1;511-VL53L0CXV0DH/1;
2;JST-03;JST-03;GH-03-V;CON1, CON2;;BM03B-GHS-TBT;;752-1765
2;;JST-03-housing;;;;GHR-03V-S;;752-1737
3;;JST-GH-crimp-contact;;;;01SSHLSSHL-28L150;;820-1393
1;ICSP;PINHD-2X3;2X03;JP1;PIN HEADER;;;
